,All eruptions,All eruptions,All eruptions,All eruptions,Confirmed Eruptions,Confirmed Eruptions,Confirmed Eruptions,Confirmed Eruptions,Uncertain Eruptions,Uncertain Eruptions,Uncertain Eruptions,Uncertain Eruptions
,f,cf,rf,crf,f,cf,rf,crf,f,cf,rf,crf
VEI,,,,,,,,,,,,
0.0,1007,1007,0.12154496077248039,0.12154496077248039,803,803,0.10510471204188482,0.10510471204188482,204.0,204.0,0.31627906976744186,0.31627906976744186
1.0,1384,2391,0.16704888352444175,0.28859384429692214,1227,2030,0.16060209424083768,0.26570680628272253,157.0,361.0,0.2434108527131783,0.5596899224806201
2.0,3991,6382,0.48171394085697045,0.7703077851538925,3727,5757,0.48782722513089005,0.7535340314136125,264.0,625.0,0.40930232558139534,0.9689922480620154
3.0,1152,7534,0.13904646952323477,0.9093542546771274,1133,6890,0.14829842931937173,0.9018324607329843,19.0,644.0,0.02945736434108527,0.9984496124031008
4.0,511,8045,0.06167773083886542,0.9710319855159928,510,7400,0.06675392670157068,0.9685863874345549,1.0,645.0,0.0015503875968992248,1.0
5.0,180,8225,0.02172601086300543,0.9927579963789982,180,7580,0.02356020942408377,0.9921465968586387,,,,
6.0,53,8278,0.006397103198551599,0.9991550995775498,53,7633,0.00693717277486911,0.9990837696335079,,,,
7.0,7,8285,0.0008449004224502112,1.0,7,7640,0.0009162303664921466,1.0,,,,
